DRUGBANK_ID,SMILES,MW,RBN,nCIC,nHAcc,nHDon,ALogP,TPSA
DB06814,CC(CC1=CC=C2OCOC2=C1)NCC(O)C1=CC=C(O)C(O)=C1,331.368,6,3,6,4,1.29,91.18
DB06817,CN1C(=O)C(O)=C(N=C1C(C)(C)NC(=O)C1=NN=C(C)O1)C(=O)NCC1=CC=C(F)C=C1,444.416,6,3,7,3,,150.02
DB06819,OC(=O)CCCC1=CC=CC=C1,164.201,4,1,2,1,2.29,37.3
DB06821,COC1=CN=C(NS(=O)(=O)C2=CC=C(N)C=C2)N=C1,280.3,3,2,6,2,0.53,107.2
DB06826,CCCCCCCC(=O)CC[C@H]1[C@H](O)C[C@H](O)[C@@H]1C\C=C/CCCC(O)=O,382.541,15,1,5,3,3.99,94.83
DB07565,O[C@@H]([C@@H](COC(=O)CCC(O)=O)NC(=O)C(Cl)Cl)C1=CC=C(C=C1)[N+]([O-])=O,423.202,11,1,7,3,1.34,156.07
DB07776,O=C1C=C(OC2=CC=CC=C12)C1=CC=CC=C1,222.239,1,3,2,0,3.54,26.3
DB08439,CCC(=O)NS(=O)(=O)C1=CC=C(C=C1)C1=C(C)ON=C1C1=CC=CC=C1,370.422,4,3,4,1,3.42,89.27
DB08604,OC1=CC(Cl)=CC=C1OC1=C(Cl)C=C(Cl)C=C1,289.542,2,2,1,1,5.53,29.46
DB08799,C(N(CC1=CC=CC=C1)C1=CC=CC=C1)C1=NCCN1,265.353,5,3,3,1,3.22,27.63
DB08801,CC(C1=C(CCN(C)C)CC2=CC=CC=C12)C1=CC=CC=N1,292.418,5,3,2,0,4.03,16.13
DB08814,CC(=O)OC1=C(C=CC(=C1)C(F)(F)F)C(O)=O,248.157,4,1,3,1,2.4,63.6
DB08819,CC(C)OC(=O)CCC\C=C/C[C@H]1[C@@H](O)C[C@@H](O)[C@@H]1\C=C\C(F)(F)COC1=CC=CC=C1,452.531,13,2,4,2,4.46,75.99
DB08824,[H][C@]12CC[C@]([H])([C@H]([C@H](C1)C1=CC=C([123I])C=C1)C(=O)OC)N2CCCF,427.291,6,3,2,0,4.24,29.54
DB08828,CS(=O)(=O)C1=CC(Cl)=C(C=C1)C(=O)NC1=CC=C(Cl)C(=C1)C1=CC=CC=N1,421.297,4,3,4,1,4.22,76.13
DB08860,O[C@H](C[C@H](O)\C=C\C1=C(C2=CC=C(F)C=C2)C2=CC=CC=C2N=C1C1CC1)CC(O)=O,421.461,8,4,5,3,3.75,90.65
DB08864,CC1=CC(\C=C\C#N)=CC(C)=C1NC1=NC(NC2=CC=C(C=C2)C#N)=NC=C1,366.418,5,3,6,2,3.8,97.42
DB08865,[H][C@](C)(OC1=CC(=CN=C1N)C1=CN(N=C1)C1CCNCC1)C1=C(Cl)C=CC(F)=C1Cl,450.337,5,4,5,2,3.82,77.99
DB08867,CN(C)C1=CC=C(C=C1)[C@H]1C[C@@]2(C)[C@@H](CC[C@]2(O)C(C)=O)[C@@H]2CCC3=CC(=O)CCC3=C12,433.592,3,5,4,1,4.45,57.61
DB08868,CCCCCCCCC1=CC=C(CCC(N)(CO)CO)C=C1,307.471,12,1,3,3,4,66.48
DB08872,CC(C)C(=O)OC(C)OC(=O)NCC1(CC(O)=O)CCCCC1,329.393,9,1,4,2,2.45,101.93
DB08877,N#CC[C@H](C1CCCC1)N1C=C(C=N1)C1=C2C=CNC2=NC=N1,306.365,4,4,4,1,2.94,83.18
DB08880,C\C(O)=C(/C#N)C(=O)NC1=CC=C(C=C1)C(F)(F)F,270.207,3,1,3,2,2.3,73.12
DB08883,O=C1N(C=C(C=C1C1=CC=CC=C1C#N)C1=NC=CC=C1)C1=CC=CC=C1,349.393,3,4,3,0,3.54,56.99
DB08893,NC1=NC(CC(=O)NC2=CC=C(CCNC[C@H](O)C3=CC=CC=C3)C=C2)=CS1,396.506,9,3,5,4,2.2,100.27
DB08895,[H][C@@]1(C)CCN(C[C@]1([H])N(C)C1=NC=NC2=C1C=CN2)C(=O)CC#N,312.37,3,3,5,1,1.58,88.91
DB08899,CNC(=O)C1=C(F)C=C(C=C1)N1C(=S)N(C(=O)C1(C)C)C1=CC=C(C#N)C(=C1)C(F)(F)F,464.436,4,3,3,1,3.75,76.44
DB08905,[H][C@@]12CCC(=O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CCC2=C(O)C(=O)CC[C@]12C,302.408,0,4,3,1,2.57,54.37
DB08907,[H][C@]1(O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O)C1=CC=C(C)C(CC2=CC=C(S2)C2=CC=C(F)C=C2)=C1,444.516,5,4,5,4,3.09,90.15
DB08910,NC1=CC=CC2=C1C(=O)N(C1CCC(=O)NC1=O)C2=O,273.244,1,3,5,2,0.02,109.57
DB08918,CCN(CC)C(=O)[C@]1(C[C@H]1CN)C1=CC=CC=C1,246.348,5,2,2,1,,46.33
DB08930,[H][C@]12CN3C=C(C(=O)NCC4=CC=C(F)C=C4F)C(=O)C(O)=C3C(=O)N1[C@H](C)CCO2,419.379,3,4,6,2,0.98,99.18
DB08933,ClC1=CC(Cl)=C(C=C1)[C@@H]1CS\C(S1)=C(\C#N)N1C=CN=C1,354.27,2,3,2,0,4.27,41.61
DB08936,CN1CCN(CC1)C(C1=CC=CC=C1)C1=CC=C(Cl)C=C1,300.826,3,3,2,0,4.16,6.48
DB08941,C[C@H](COC1=CC=CC=C1)N[C@H](C)[C@@H](O)C1=CC=C(O)C=C1,301.386,7,2,4,3,2.06,61.72
DB08942,CN1C(C(=O)NC2=NOC(C)=C2)=C(O)C2=C(C=CC=C2)S1(=O)=O,335.335,2,3,5,2,2.61,112.74
DB08944,CC(C)[C@@](C[C@H](C)N(C)C)(C#N)C1=CC=CC=C1,244.382,5,1,2,0,3.44,27.03
DB08954,CC(C(O)C1=CC=C(O)C=C1)N1CCC(CC2=CC=CC=C2)CC1,325.445,5,3,3,2,3.98,43.7
DB08964,CCCCC(C)(C)[C@H](O)\C=C\[C@H]1[C@H](O)CC(=O)[C@@H]1CCCC\C=C\C(=O)OC,394.552,13,1,4,2,4.02,83.83
DB08967,CC(CN1C2=CC=CC=C2SC2=C1C=C(C=C2)S(=O)(=O)N(C)C)N(C)C,391.55,4,3,4,0,3.47,43.86
DB08971,[H][C@@]1(C)C[C@@]2([H])[C@]3([H])C[C@]([H])(F)C4=CC(=O)C=C[C@]4(C)[C@@]3([H])[C@@]([H])(O)C[C@]2(C)[C@@]1([H])C(=O)CO,376.462,2,4,4,2,2.09,74.6
DB08976,OCC(O)COC(=O)C1=CC=CC=C1NC1=CC=NC2=C(C=CC=C12)C(F)(F)F,406.355,8,3,5,3,3.05,91.68
DB08981,OC(=O)CCC(=O)C1=CC=C(C=C1)C1=CC=CC=C1,254.281,5,2,3,1,3.07,54.37
DB08987,CCCN(CC)C(CC)C(O)=NC1=C(C)C=CC=C1C,276.417,7,1,3,1,3.66,35.83
DB08988,CCOC(=O)C1(CCCN(C)CC1)C1=CC=CC=C1,261.359,4,2,2,0,3.32,29.54
DB09009,CCCNC(C)C(O)=NC1=C(SC=C1C)C(=O)OC,284.374,7,1,4,2,1.9,70.92
DB09015,[H][C@@]12CC[C@@](O)(CCC(O)=O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])C=CC2=CC(=O)CC[C@]12C,358.478,3,4,4,2,2.73,74.6
DB09016,CC(CC1C2=CC=CC=C2CCC2=CC=CC=C12)CN(C)C,293.446,4,3,1,0,,3.24
DB09019,CN(CC1=CC(Br)=CC(Br)=C1N)C1CCCCC1,376.13,3,2,2,1,4.08,29.26
DB09020,CC(=O)OC1=CC=C(C=C1)C(C1=CC=C(OC(C)=O)C=C1)C1=CC=CC=N1,361.391,7,3,3,0,4.71,65.49
DB09038,[H][C@@]1(CCOC1)OC1=CC=C(CC2=C(Cl)C=CC(=C2)[C@]2([H])O[C@]([H])(CO)[C@@]([H])(O)[C@]([H])(O)[C@@]2([H])O)C=C1,450.91,6,4,7,4,1.79,108.61
DB09039,[H][C@](CN1CCCC1)(N=C(O)CCCCCCC)[C@]([H])(O)C1=CC2=C(OCCO2)C=C1,404.551,11,3,6,2,3.79,74.52
DB09040,C[C@@H](N1CCC(=C)CC1)[C@](O)(CN1C=NC=N1)C1=C(F)C=C(F)C=C1,348.398,5,3,4,1,1.49,54.18
DB09042,CN1N=NC(=N1)C1=CC=C(C=N1)C1=CC=C(C=C1F)N1C[C@H](COP(O)(O)=O)OC1=O,450.323,6,4,9,2,0.82,152.79
DB09054,[H][C@@](CC)(NC1=NC=NC2=C1N=CN2)C1=NC2=CC=CC(F)=C2C(=O)N1C1=CC=CC=C1,415.432,5,5,6,2,3.03,99.16
DB09064,CC(C)(OC1=CC=C(C=C1)C1CC1(Cl)Cl)C(O)=O,289.15,4,2,3,1,3.97,46.53
DB09068,CC1=CC=C(SC2=CC=CC=C2N2CCNCC2)C(C)=C1,298.45,3,3,2,1,4.51,15.27
DB09069,COC1=C(OC)C(OC)=C(CN2CCNCC2)C=C1,266.341,5,2,5,1,0.85,42.96
DB09070,[H][C@@]12CC[C@@](O)(C#C)[C@@]1(C)CC[C@]1([H])C3=C(CC(=O)CC3)C[C@@]([H])(C)[C@@]21[H],312.453,0,4,2,1,2.69,37.3
DB09071,[H][C@@]1(CN=C(O)CC)C[C@@]1([H])C1=C2CCOC2=CC=C1,245.322,4,3,3,1,3.35,41.82
